['const', 'mlp', 'leaky_relu', 16, 64, 'linear', 'sum', 'elu', 4, 7],0.029200000000000115,0.766
['generalized_linear', 'mean', 'leaky_relu', 16, 64, 'gat_sym', 'mean', 'softplus', 8, 7],-0.5,0.11
['gat', 'sum', 'softplus', 2, 4, 'const', 'mean', 'sigmoid', 4, 7],-0.5,0.242
['gat', 'mean', 'tanh', 1, 16, 'generalized_linear', 'sum', 'relu', 8, 7],-0.5,0.272
['gat', 'mlp', 'leaky_relu', 16, 32, 'const', 'mean', 'relu', 1, 7],0.0029999999999998916,0.746
['gat', 'sum', 'leaky_relu', 4, 256, 'cos', 'max', 'relu6', 16, 7],-0.5,0.122
['gcn', 'sum', 'sigmoid', 4, 4, 'gat', 'max', 'linear', 8, 7],-0.43659999999999993,0.31
['gcn', 'mean', 'softplus', 6, 8, 'generalized_linear', 'mean', 'relu6', 2, 7],-0.5,0.084
['linear', 'sum', 'linear', 8, 128, 'linear', 'max', 'linear', 16, 7],-0.33459999999999995,0.412
['gcn', 'max', 'tanh', 16, 4, 'gcn', 'mean', 'elu', 1, 7],-0.06620000000000004,0.714
['generalized_linear', 'mean', 'elu', 1, 64, 'generalized_linear', 'mlp', 'tanh', 2, 7],-0.5,0.18
['generalized_linear', 'mean', 'tanh', 2, 16, 'generalized_linear', 'mean', 'elu', 1, 7],-0.4922,0.288
['const', 'mean', 'leaky_relu', 4, 8, 'linear', 'max', 'tanh', 4, 7],-0.3045999999999999,0.442
['generalized_linear', 'sum', 'relu6', 4, 4, 'generalized_linear', 'sum', 'leaky_relu', 1, 7],0.017800000000000038,0.798
['generalized_linear', 'sum', 'leaky_relu', 6, 64, 'gat_sym', 'max', 'leaky_relu', 6, 7],-0.5,0.196
['linear', 'max', 'softplus', 2, 32, 'gcn', 'mean', 'softplus', 8, 7],-0.5,0.146
['gat_sym', 'mlp', 'tanh', 4, 64, 'linear', 'mlp', 'leaky_relu', 2, 7],-0.024599999999999955,0.722
['linear', 'sum', 'relu', 16, 128, 'linear', 'mlp', 'relu', 8, 7],-0.4396000000000001,0.344
['cos', 'mean', 'leaky_relu', 2, 32, 'generalized_linear', 'max', 'relu6', 16, 7],-0.5,0.122
['gat', 'mlp', 'relu6', 4, 64, 'const', 'mlp', 'relu', 16, 7],-0.0034000000000000696,0.744
['gat', 'mean', 'tanh', 16, 64, 'cos', 'sum', 'softplus', 16, 7],-0.5,0.116
['gcn', 'max', 'tanh', 6, 32, 'generalized_linear', 'sum', 'relu', 4, 7],-0.057600000000000096,0.726
['generalized_linear', 'mean', 'relu6', 1, 8, 'gat', 'sum', 'linear', 1, 7],-0.5,0.214
['gcn', 'mean', 'sigmoid', 1, 16, 'generalized_linear', 'sum', 'elu', 6, 7],-0.5,0.204
['const', 'mlp', 'relu', 2, 16, 'const', 'sum', 'leaky_relu', 4, 7],-0.062000000000000055,0.688
['gat', 'mlp', 'relu6', 4, 128, 'cos', 'max', 'linear', 6, 7],-0.04160000000000008,0.742
['cos', 'mlp', 'tanh', 6, 128, 'gat_sym', 'mlp', 'relu', 6, 7],-0.09999999999999998,0.65
['gat_sym', 'max', 'tanh', 4, 4, 'linear', 'sum', 'relu', 1, 7],-0.03160000000000007,0.752
['gcn', 'mean', 'elu', 1, 16, 'gcn', 'mean', 'leaky_relu', 4, 7],-0.5,0.202
['gcn', 'mean', 'sigmoid', 2, 8, 'const', 'mean', 'softplus', 4, 7],-0.5,0.072
['gat', 'max', 'softplus', 1, 4, 'generalized_linear', 'mean', 'elu', 8, 7],-0.5,0.084
['cos', 'mean', 'tanh', 4, 4, 'gcn', 'mlp', 'elu', 2, 7],-0.10160000000000002,0.682
['gat_sym', 'mean', 'linear', 2, 128, 'gcn', 'max', 'linear', 4, 7],-0.37,0.38
['linear', 'max', 'sigmoid', 6, 16, 'const', 'mean', 'relu', 6, 7],-0.5,0.122
['gcn', 'mlp', 'tanh', 16, 32, 'cos', 'mlp', 'relu6', 1, 7],-0.052000000000000046,0.698
['gcn', 'max', 'sigmoid', 6, 8, 'cos', 'mlp', 'relu', 6, 7],-0.5,0.158
['const', 'sum', 'leaky_relu', 2, 128, 'const', 'max', 'elu', 4, 7],-0.05360000000000009,0.73
['cos', 'mlp', 'relu', 1, 64, 'linear', 'max', 'relu', 6, 7],-0.484,0.266
['linear', 'sum', 'softplus', 4, 4, 'generalized_linear', 'max', 'elu', 8, 7],-0.5,0.174
['generalized_linear', 'mlp', 'softplus', 8, 64, 'generalized_linear', 'sum', 'linear', 1, 7],0.01200000000000001,0.762
['generalized_linear', 'mean', 'leaky_relu', 8, 256, 'gcn', 'sum', 'softplus', 2, 7],-0.03760000000000008,0.746
